CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0034-16,PEND.RESULT.GENETICA,"-75,2702222","8,02094444",NO_IDENTIFICADO,CÓRDOBA,TIERRALTA,8.02094444,-75.2702222,"8.02094444,-75.2702222"
CIH-0034-17,CERRADO,"-75,5175278","7,24980556",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0035-14,CERRADO,"-75,90611111","6,064888889",NO_IDENTIFICADO,ANTIOQUIA,CONCORDIA,6.064888889,-75.90611111,"6.064888889,-75.90611111"
CIH-0035-15,CERRADO,-77.052222, ﻿5.0497222,,CHOCÓ,MEDIO BAUDÓ, .5.0497222,-77.052222," .5.0497222,-77.052222"
CIH-0035-16,PEND.RESULT.GENETICA,"-76,1759167","8,50138889",NO_IDENTIF_EN_PROCES,CÓRDOBA,TIERRALTA,8.50138889,-76.1759167,"8.50138889,-76.1759167"
CIH-0035-17,CERRADO,"-75,5175278","7,24980556",,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0036-14,INVALID,"-75,90611111","6,064888889",,ANTIOQUIA,CONCORDIA,6.064888889,-75.90611111,"6.064888889,-75.90611111"
CIH-0036-15,CERRADO,"-75,8291667","6,92847222",IDENTIF_ENTREGADO,ANTIOQUIA,SANTA ROSA DE OSOS,6.92847222,-75.8291667,"6.92847222,-75.8291667"
CIH-0036-16,CERRADO,"-76,0594583","8,18052778",IDENTIF_ENTREGADO,CÓRDOBA,TIERRALTA,8.18052778,-76.0594583,"8.18052778,-76.0594583"
CIH-0036-17,CERRADO,"-75,5175278","7,24980556",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0037-15,CERRADO,"-76,60883333","8,360833333",IDENTIF_ENTREGADO,ANTIOQUIA,NECOCLÍ,8.360833333,-76.60883333,"8.360833333,-76.60883333"
CIH-0037-16,PEND.RESULT.GENETICA,"-75,46055","6,6472222",NO_IDENTIFICADO,ANTIOQUIA,SANTA ROSA DE OSOS,6.6472222,-75.46055,"6.6472222,-75.46055"
CIH-0037-17,ASIGNADO,"-75,5175278","7,24980556",,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0038-15,CERRADO,"-75,7648611","7,17852778",,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0038-16,CERRADO,"-75,4368722","7,16945833",IDENTIF_ENTREGADO,ANTIOQUIA,VALDIVIA,7.16945833,-75.4368722,"7.16945833,-75.4368722"
CIH-0038-17,CERRADO,"-75,5175278","7,24980556",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0039-16,CERRADO,"-75,4368722","7,1695833",,ANTIOQUIA,VALDIVIA,7.1695833,-75.4368722,"7.1695833,-75.4368722"
CIH-0039-17,CERRADO,"-75,5175278","7,24980556",,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0040-15,CERRADO,"-75,7648611","7,17852778",,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0040-16,CERRADO,"-75,4368722","7,16945833",IDENTIF_ENTREGADO,ANTIOQUIA,VALDIVIA,7.16945833,-75.4368722,"7.16945833,-75.4368722"
